id;votes;priority;severity;precedence
336195;0;0.6;0.4;
331688;0;0.6;0.6;
311549;45;0.6;1.0;
342986;0;0.6;0.2;
241502;40;1.0;1.0;
129368;0;0.6;0.6;
333677;40;0.6;0.2;
333337;0;0.6;0.4;
171163;0;0.6;1.0;
339337;6;0.6;0.4;
312430;0;0.6;0.4;
345218;45;0.6;1.0;
345534;41;0.6;0.2;
284474;60;0.6;0.2;
243740;5;0.6;0.6;
141946;120;0.6;0.4;
90863;32;0.6;1.0;
334984;20;0.6;0.4;
272421;0;0.6;1.0;
269408;39;0.6;1.0;
143399;0;0.6;1.0;
332623;0;0.6;0.8;
196675;20;0.6;0.4;
313022;0;0.6;1.0;
121088;13;0.6;0.8;
324087;0;0.6;1.0;
342659;33;0.6;1.0;
345455;0;0.6;1.0;
333636;0;0.6;0.6;
318387;0;0.6;0.2;
141855;0;0.6;0.2;
192686;46;0.6;0.6;
343286;78;0.6;1.0;
338777;25;0.6;0.8;
312795;0;0.6;0.8;
346102;0;0.6;0.6;
331465;11;0.6;0.4;
267975;11;0.6;0.4;
342594;42;0.6;1.0;
113546;0;0.6;0.8;
339394;0;0.6;0.6;
333812;57;0.6;0.6;
334399;0;0.6;1.0;
330419;0;0.6;0.4;
189178;0;0.6;0.2;
340521;0;0.6;0.4;
328569;35;0.6;0.8;
186081;0;0.6;1.0;
328184;32;0.6;0.8;
104523;64;0.6;0.6;
173699;0;0.6;0.6;
344566;34;0.6;0.8;
333627;0;0.6;0.8;
332122;20;0.6;0.2;
344562;27;0.6;1.0;
338270;17;0.6;0.2;
293365;52;0.6;0.2;
101457;50;0.6;0.8;
323153;10;0.6;0.4;
107003;77;0.6;0.4;
92337;99;0.6;0.4;
235862;61;0.6;0.4;
320376;39;0.6;0.2;
341129;85;0.6;0.4;
244699;4;0.6;0.2;
82430;74;0.6;1.0;
120245;66;0.6;1.0;
343158;0;0.6;0.6;
280798;0;0.6;0.6;
345027;0;0.6;0.8;
288413;0;0.6;1.0;
146239;147;0.6;0.2;
319761;26;0.6;0.4;
334706;39;0.6;0.2;
335737;0;0.6;0.6;
189688;62;0.6;0.8;
268913;0;0.6;0.2;
343725;0;0.6;0.2;
283145;1;0.6;1.0;
242704;20;0.6;1.0;
329910;38;0.6;0.2;
345504;0;0.6;0.8;
148390;10;0.6;0.1;
176810;0;0.6;0.1;
117283;51;0.8;0.1;
344374;0;0.6;0.4;
333517;0;0.6;0.8;
310073;65;0.6;0.1;
345602;56;0.6;0.2;
154043;0;0.6;1.0;
197068;10;0.6;0.2;
248777;44;0.6;0.1;
244090;5;0.6;0.4;
337641;20;0.6;0.4;
201055;41;0.6;0.1;
334485;0;0.6;0.1;
336676;18;0.6;0.4;
339676;0;0.8;0.4;
146477;25;0.6;0.6;
344414;20;0.6;0.1;
192098;20;0.6;0.1;
197283;20;0.6;0.1;
202085;0;0.6;0.6;
179775;28;0.6;0.4;
344502;32;0.6;0.4;
315806;31;0.6;0.8;
325576;10;0.6;0.8;
325877;0;0.6;0.4;
340756;20;0.6;0.4;
333577;0;0.8;0.7;
153109;70;0.6;0.1;
135737;116;0.6;1.0;
296500;26;0.6;0.1;
326869;0;0.6;0.25;
284250;21;0.6;0.4;
333656;42;0.6;0.2;
