id;votes;priority;severity;precedence
334032;0;0.6;0.4;
307102;0;0.6;0.4;
342507;10;0.6;0.4;
81805;0;0.6;0.4;
78259;0;0.6;0.1;
202085;0;0.6;0.6;
140024;20;0.6;1.0;
345189;48;0.6;0.55;
288835;0;0.6;1.0;
197068;10;0.6;0.2;
306373;0;0.6;0.1;
319014;8;0.6;0.1;
288944;43;0.6;1.0;
178581;0;0.6;0.1;
339603;0;0.6;0.85;
333464;20;0.6;0.1;
327842;0;0.6;0.4;
316975;1;0.6;0.4;
343088;0;0.6;0.1;
174486;40;0.6;0.1;
135737;80;0.6;1.0;
343725;0;0.6;0.4;
83301;39;0.6;0.2;
216689;29;0.6;0.1;
98955;0;0.6;0.8;
322655;25;0.6;0.1;
292485;0;0.6;0.2;
172208;1;0.6;0.2;
274102;95;0.8;0.1;
160987;27;0.6;0.1;
345930;0;0.6;0.4;
333941;106;0.6;0.4;
336766;0;0.6;0.1;
140767;0;0.6;0.6;
307052;0;0.6;0.1;
314378;15;0.6;1.0;
284250;0;0.6;0.4;
236367;0;0.6;0.2;
344374;0;0.6;0.4;
338113;23;0.6;0.4;
197873;0;0.6;0.6;
186066;0;0.6;0.1;
189471;0;0.6;0.1;
140513;26;0.6;1.0;
102868;20;0.6;0.1;
215599;0;0.6;0.8;
335121;2;0.6;0.55;
244699;4;0.6;0.4;
59974;30;0.6;0.1;
332949;0;0.6;0.4;
345731;0;0.6;0.4;
343506;29;0.6;0.1;
300453;15;0.6;1.0;
160529;80;0.6;0.1;
337730;41;0.6;1.0;
320376;10;0.6;0.1;
309553;20;0.6;0.4;
126772;61;0.6;0.1;
117648;8;0.6;0.1;
330750;5;0.6;1.0;
302577;35;0.6;0.1;
328184;32;0.6;0.8;
104523;64;0.6;0.1;
333577;0;0.8;0.7;
288413;0;0.6;0.1;
344584;0;0.6;0.4;
316663;20;0.6;1.0;
322004;0;0.6;0.2;
241502;40;1.0;0.1;
119787;0;0.6;0.1;
344449;0;0.6;1.0;
127549;29;0.6;0.1;
44908;474;0.6;0.1;
333627;0;0.6;0.4;
329247;0;0.6;0.6;
201057;41;0.6;0.1;
174231;20;0.6;0.1;
344551;0;0.6;0.1;
175854;0;0.6;0.1;
328837;30;0.6;0.6;
334749;54;0.6;0.4;
86649;0;0.6;0.2;
236291;0;0.6;0.6;
330203;0;0.6;0.1;
318387;0;0.6;0.8;
338111;20;0.6;0.4;
134346;101;0.6;0.1;
109338;131;0.6;0.1;
298533;0;0.6;0.2;
293365;20;0.6;0.1;
156532;42;0.6;0.2;
153197;14;0.6;0.2;
302579;0;0.6;0.1;
346101;0;0.6;0.55;
320375;0;0.6;0.4;
315806;31;0.6;0.8;
340756;20;0.6;0.4;
314752;0;0.6;0.4;
124977;52;0.6;0.6;
308614;27;0.6;0.4;
188870;0;0.6;0.2;
117283;51;0.8;0.1;
129368;0;0.6;0.1;
341129;85;0.6;0.4;
146181;0;0.6;0.6;
248756;0;0.2;1.0;
343158;0;0.6;0.4;
314395;100;0.6;0.4;
343979;9;0.6;0.8;
146477;25;0.6;0.6;
315767;0;0.6;0.2;
338819;0;0.6;0.1;
323815;20;0.6;0.4;
201055;41;0.6;0.1;
344505;0;0.6;0.1;
92337;99;0.6;0.1;
296156;38;0.6;0.8;
